Unnamed: 0,a11,a17,a23,a30,a36,a42,a48,a54,a60,a66,a72,a79,a85,a91,a97,a100,Upper_Scale,b5,b9,b10,b11,b13,b14,b17,b19,b30,b32,b33,b34,b35,b49,b50,b51,b52,b4,b8,b25,b66,b67,b68,b73,b77,b78,b79,b96,b97,b98,b103,b107,b108,b109,a1,a6,a12,a18,a25,a31,a37,a43,a49,a55,a61,a67,a73,a80,a86,a92,a5,a10,a16,a22,a29,a35,a41,a47,a53,a59,a65,a71,a77,a78,a84,a90,a96,a98,a2,a7,a13,a19,a24,a26,a32,a38,a44,a50,a56,a62,a68,a74,a75,a81,a87,a93
b31,0.81,,,,,0.8,,,,0.8,,,,,0.8,0.81,Honesty-Humility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b87,0.86,,,0.93,0.89,0.85,0.91,0.84,,0.91,,0.91,,0.84,0.8,0.82,Honesty-Humility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,,,,,,,,,,,,,,,,,Agreeableness,0.86,,,0.88,0.86,0.84,0.88,0.84,0.81,0.88,,0.88,0.81,0.84,0.81,0.82,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a8,,,,,,,,,,,,,,,,,Agreeableness,0.84,,,0.82,0.8,0.81,0.81,0.8,0.8,0.82,,0.81,,0.81,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a14,,,,,,,,,,,,,,,,,Agreeableness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a20,,,,,,,,,,,,,,,,,Agreeableness,0.83,0.82,0.82,0.81,0.82,0.84,0.83,0.85,0.84,0.85,0.8,0.83,0.84,0.83,0.84,0.81,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a27,,,,,,,,,,,,,,,,,Agreeableness,0.8,,,,,,,0.8,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a33,,,,,,,,,,,,,,,,,Agreeableness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a39,,,,,,,,,,,,,,,,,Agreeableness,0.83,,,,,,,,,0.82,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a45,,,,,,,,,,,,,,,,,Agreeableness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
